Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,19999.9995529652
2007,..
2008,..
2009,9999.99977648258
2010,9999.99977648258
2011,..
2012,..
2013,50000.0007450581
2014,21122.9994893074
2015,867.000024300069
2016,-10444.0003633499
2017,..
2018,..
2019,..
2020,153812.006115913
2021,..
2022,..
2023,..
2024,..
2025,..
