Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,32.2500801086426
2006,32.4035606384277
2007,..
2008,..
2009,30.5019207000732
2010,30.1466293334961
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,10.7275121949013
2018,11.0475565743957
2019,..
2020,..
2021,18.1421861518513
2022,24.7300495499887
2023,23.6398277259274
2024,23.943311018065
2025,..
