Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,1.3
1982,..
1983,..
1984,..
1985,1.4
1986,..
1987,..
1988,..
1989,1.3
1990,..
1991,..
1992,..
1993,..
1994,..
1995,1.5
1996,..
1997,..
1998,..
1999,..
2000,..
2001,1.4
2002,..
2003,1.5
2004,1.2
2005,..
2006,..
2007,..
2008,0.9
2009,..
2010,0.9
2011,..
2012,..
2013,..
2014,0.9
2015,..
2016,0.9
2017,..
2018,0.9
2019,..
2020,1.1
2021,..
2022,..
2023,..
2024,..
2025,..
