Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,51.1763408013001
1991,51.1331762547953
1992,51.0546304954177
1993,50.8230076692369
1994,50.9052840430167
1995,50.8827997837743
1996,50.8482719738938
1997,50.8655430642236
1998,50.8710757391261
1999,50.9953547223446
2000,50.9627998491673
2001,50.8211605735693
2002,50.712153809378
2003,50.660958758536
2004,50.600497131926
2005,50.6071680012442
2006,50.3543559340242
2007,50.2190340623476
2008,49.9080776947947
2009,49.6873782866243
2010,49.3502777396598
2011,49.154906097423
2012,48.8986543312152
2013,48.7493486836512
2014,48.5946413653695
2015,48.5463086828544
2016,48.4632199883405
2017,48.3737139576476
2018,48.3048226894161
2019,48.2843403158836
2020,46.9801551174139
2021,47.8921671536065
2022,48.3162129639076
2023,49.0297087675013
2024,49.0782841403016
2025,..
