Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,30.5
1989,..
1990,..
1991,..
1992,26.7
1993,..
1994,..
1995,26.8
1996,..
1997,..
1998,..
1999,..
2000,19.5
2001,..
2002,..
2003,18.5
2004,..
2005,16.6
2006,..
2007,..
2008,16.6
2009,..
2010,..
2011,..
2012,..
2013,..
2014,17.4
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,15.8
2022,..
2023,..
2024,..
2025,..
