Year,Value
1960,21.3092412797334
1961,21.2707977630436
1962,21.2938638731113
1963,21.9550923595525
1964,21.8666722711776
1965,21.8436061611484
1966,22.0550455027883
1967,23.0641878148471
1968,23.0276664740477
1969,22.9334798581942
1970,23.3563585414548
1971,23.7331050045995
1972,24.5000531617548
1973,27.0873018323506
1974,31.781255215535
1975,33.2075096832608
1976,34.0820996870785
1977,35.7140269689273
1978,37.4497517457152
1979,38.8183409385794
1980,41.4094339608595
1981,45.4261490550629
1982,48.0694512559551
1983,49.8500569163408
1984,51.7928495263723
1985,51.9722904068005
1986,52.3553276711112
1987,52.5071622623698
1988,53.8495180799345
1989,55.3644132056691
1990,56.8137433942992
1991,59.2898757105672
1992,62.1163594444336
1993,64.3131575223467
1994,66.7088037021399
1995,69.0106410694247
1996,71.4181183158851
1997,73.3196361410336
1998,77.1838317213788
1999,79.302189298518
2000,80.519271906486
2001,81.6600566572237
2002,83.1363663346491
2003,84.0422836367056
2004,85.2367523757134
2005,87.7726062146297
2006,90.9405264022545
2007,92.7842120541747
2008,97.8323989582419
2009,98.4030635647886
2010,100
2011,103.174470921513
2012,104.890851524746
2013,107.098816863856
2014,110.464922512914
2015,112.789535077487
2016,115.147475420763
2017,119.605065822363
2018,120.663222796201
2019,121.463089485086
2020,120.079986668888
2021,123.05449091818
2022,127.212131311448
2023,130.378270288285
2024,132.769538410265
2025,..
