Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,62.4071796465586
1984,..
1985,..
1986,60.1576790005171
1987,..
1988,..
1989,..
1990,..
1991,55.1707023154406
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,57.4588555523801
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,49.4191616752573
2012,..
2013,47.1939951849641
2014,..
2015,..
2016,..
2017,..
2018,..
2019,44.2400153072448
2020,..
2021,..
2022,..
2023,..
2024,..
