Year,Value
1960,..
1961,2.78673050525734
1962,2.80698421797939
1963,2.82509682257967
1964,2.85554207780566
1965,2.52900109189077
1966,2.36670145600789
1967,2.59966150696535
1968,2.70751027453981
1969,2.76421216767215
1970,2.7523193721547
1971,2.70918593790289
1972,2.66225034303759
1973,2.62716406889288
1974,2.57379806865858
1975,2.52610742568257
1976,2.49420325253991
1977,2.45521844395398
1978,2.43846955711898
1979,2.42309448317805
1980,2.38861945340176
1981,2.34521555543862
1982,2.312379898873
1983,2.2802310222151
1984,2.229708398269
1985,2.13630506735178
1986,2.01749973418514
1987,1.94141842112657
1988,1.90886698268871
1989,1.87458353064795
1990,1.81442604896274
1991,1.77013689509296
1992,1.7332257161332
1993,1.70158442607601
1994,1.6859518715422
1995,1.66278546327292
1996,1.64546182640737
1997,1.62630782020292
1998,1.58071800042293
1999,1.50317096427875
2000,1.43244007763682
2001,1.38801892806803
2002,1.35572575488289
2003,1.32378197652859
2004,1.27101139474106
2005,1.28380661170743
2006,1.32525502272966
2007,1.32086532413059
2008,1.29735043016571
2009,1.26698625068088
2010,1.26054140134601
2011,1.27668830646548
2012,1.28583816632167
2013,1.24038001568984
2014,1.17536091203837
2015,1.12233981761262
2016,1.0744882002252
2017,1.02232939771064
2018,0.969743409524713
2019,0.935604959235128
2020,0.849801187379341
2021,0.704601321926319
2022,0.746050469653246
2023,0.842666137328498
2024,0.813871513351669
2025,..
