Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,2.59375623975481
2014,2.91681097918029
2015,3.8030431639483
2016,6.73827719289371
2017,6.44817701941686
2018,7.07412756577496
2019,8.38508866322845
2020,10.1689497489355
2021,3.94028403337591
2022,4.66279916937151
2023,..
2024,..
2025,..
