Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,10.55182
2000,14.11934
2001,19.46455
2002,17.83147
2003,19.45603
2004,19.83642
2005,19.17852
2006,..
2007,..
2008,22.13818
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,20.75168
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
