Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,71.1195831298828
2001,72.8832092285156
2002,75.1482925415039
2003,78.5541915893555
2004,79.7827072143555
2005,80.6305389404297
2006,82.7013931274414
2007,84.0887069702148
2008,86.0763092041016
2009,85.9423217773438
2010,87.2729263305664
2011,88.3800888061523
2012,90.6936187744141
2013,93.2623062133789
2014,97.3196868896484
2015,100.982269287109
2016,102.871368408203
2017,105.11018371582
2018,105.964653015137
2019,105.515609741211
2020,102.58154296875
2021,98.3202514648438
2022,98.3576583862305
2023,102.055458068848
2024,..
2025,..
