Year,Value
1960,..
1961,43.7319370303628
1962,43.5041311074088
1963,43.0927204107307
1964,42.834313692156
1965,42.5827071503859
1966,42.310700078202
1967,42.1236952160756
1968,41.9774914147768
1969,41.5524803644895
1970,40.7466594131447
1971,32.3382407942607
1972,31.9370303627894
1973,31.5800210805481
1974,31.6854238210193
1975,31.7228247934446
1976,31.8384277991228
1977,31.8214273571113
1978,32.1342354901227
1979,32.2192377001802
1980,32.2430383189963
1981,32.1852368161572
1982,32.1580361089388
1983,31.0360069361803
1984,30.9306041957091
1985,30.7708000408011
1986,30.8932032232838
1987,30.8218013668355
1988,30.4579919077896
1989,30.57699500187
1990,30.6415966815137
1991,30.2607867804563
1992,29.7507735201115
1993,29.0707558396518
1994,28.3193363027439
1995,28.1629322362381
1996,28.3295365679508
1997,28.0609295841692
1998,28.3193363027439
1999,29.0537553976403
2000,28.672586721133
2001,28.1991627158306
2002,28.0233195138612
2003,26.9141547014385
2004,26.981786702196
2005,26.3088482946591
2006,24.942681879358
2007,24.2494538715939
2008,25.3552370839787
2009,23.6069498643978
2010,23.8132274667081
2011,22.7243522545127
2012,24.0702290695866
2013,23.0861834585653
2014,22.7514050548157
2015,22.3219418500058
2016,22.6465754536416
2017,22.779370887129
2018,22.7344970546264
2019,23.3810805601301
2020,24.3456209822229
2021,24.3232955832773
2022,23.9567056675233
2023,23.9567056675233
2024,..
2025,..
