Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,34.8997546022852
1992,34.9799148296983
1993,35.1041193742373
1994,34.7044195807353
1995,34.4350205207992
1996,33.8957287255633
1997,33.9706330080515
1998,33.8780501274414
1999,34.0642717916563
2000,33.5862304932028
2001,33.5173402632645
2002,33.6554596581476
2003,33.5284004471939
2004,33.2061220445983
2005,32.8777982752298
2006,32.2492660335138
2007,31.7092983821222
2008,31.2828042339015
2009,31.6923951983247
2010,31.4909371018506
2011,31.4414247342713
2012,31.2741706053665
2013,31.2304042660471
2014,31.0629530753278
2015,31.5109044340834
2016,31.7228496499045
2017,32.0992940540059
2018,32.3478871418633
2019,32.4180077411519
2020,33.176863892024
2021,33.7517535061374
2022,32.871638056438
2023,32.0556231672656
2024,31.5978364277851
2025,..
