Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,95
2001,95
2002,95
2003,95
2004,95
2005,95
2006,95
2007,95
2008,95
2009,95
2010,95
2011,99
2012,98
2013,97
2014,97
2015,95
2016,95
2017,88
2018,84
2019,88
2020,88
2021,89
2022,88
2023,88
2024,..
2025,..
