Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,1500000
2010,1500000
2011,1459000
2012,1350000
2013,1100000
2014,1107000
2015,1223000
2016,1107000
2017,825000
2018,2648000
2019,2648000
2020,2968000
2021,2968000
2022,3864000
2023,3862000
2024,3136000
2025,..
