Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,0.208809837698936
1997,..
1998,0.214446097612381
1999,..
2000,0.19293774664402
2001,..
2002,0.156961709260941
2003,0.156959146261215
2004,0.137709811329842
2005,0.138626515865326
2006,0.110005989670753
2007,0.111849181354046
2008,0.10944539308548
2009,0.111261464655399
2010,0.109907656908035
2011,0.110783949494362
2012,0.107736073434353
2013,0.103858023881912
2014,0.120048999786377
2015,0.121568933129311
2016,0.119626730680466
2017,0.119741767644882
2018,0.123716555535793
2019,0.118172071874142
2020,0.120870187878609
2021,0.121181085705757
2022,0.120664857327938
2023,0.118360884487629
2024,..
2025,..
