Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,12.5070662598165
2001,12.1645202560208
2002,12.1033007039236
2003,12.0480933792372
2004,11.9527666189697
2005,11.7287017241026
2006,11.3041486009874
2007,11.0747626493362
2008,10.9489846699595
2009,10.8149456306112
2010,10.6717794768086
2011,10.4837948160117
2012,10.2731471194745
2013,10.0956266246778
2014,9.93511104950612
2015,9.74167065675365
2016,9.61822258389386
2017,9.59788753221022
2018,9.53953079611454
2019,9.42156319820756
2020,9.05554665088433
2021,9.13025566966109
2022,..
2023,..
2024,..
2025,..
