Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,19
1986,18
1987,19
1988,19
1989,18
1990,18
1991,16
1992,15
1993,14
1994,13
1995,14
1996,14
1997,13
1998,12
1999,12
2000,11
2001,10
2002,11
2003,11
2004,11
2005,11
2006,10
2007,10
2008,10
2009,10
2010,10
2011,10
2012,9
2013,8
2014,7
2015,8
2016,8
2017,8
2018,7
2019,8
2020,8
2021,8
2022,23
2023,7
2024,..
2025,..
