Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,4.2
1988,..
1989,..
1990,..
1991,..
1992,..
1993,5.2
1994,..
1995,6.4
1996,..
1997,..
1998,..
1999,..
2000,6.2
2001,..
2002,..
2003,..
2004,6.5
2005,..
2006,..
2007,..
2008,6.7
2009,..
2010,..
2011,..
2012,..
2013,..
2014,7.5
2015,..
2016,..
2017,..
2018,..
2019,7.8
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
