Year,Value
1960,..
1961,5.74064582266813
1962,1.84197770236842
1963,-2.23702998571657
1964,3.52969814993797
1965,1.08158946626055
1966,2.79134682484525
1967,1.38040280607036
1968,10.9151785714295
1969,6.82229824913614
1970,7.55463451394223
1971,7.02399719740848
1972,7.03764320785962
1973,8.1039755351653
1974,7.6346729055067
1975,4.97730086669512
1976,6.88656497352524
1977,8.76132560106353
1978,6.76706985763171
1979,7.32430948559606
1980,9.88007752166418
1981,7.92715682412874
1982,2.24644534036375
1983,4.1929673681999
1984,6.97552780884124
1985,2.46214356422551
1986,5.87504510359864
1987,4.92592736496611
1988,5.7804984881177
1989,7.45658692516847
1990,7.24213163856464
1991,6.91198283591309
1992,6.49750651682714
1993,6.49640812045304
1994,7.53997109551439
1995,8.22000739903493
1996,7.81818707670867
1997,4.69987885390397
1998,-13.1267254923818
1999,0.79112608199847
2000,4.9200677470169
2001,3.64346644721492
2002,4.49947539085764
2003,4.78036912167654
2004,5.03087394501685
2005,5.69257130383384
2006,5.50095178520348
2007,6.34502222667214
2008,6.01370360009123
2009,4.62887118256153
2010,6.22385418062366
2011,6.16978420771008
2012,6.03005065305615
2013,5.5572636889101
2014,5.006668425755
2015,4.87632230022123
2016,5.03306918280177
2017,5.06978590134916
2018,5.17429153955024
2019,5.01928768046282
2020,-2.06551182934165
2021,3.70288562827751
2022,5.30719722664799
2023,5.04902331835997
2024,5.03034469419038
