Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,9.53999996185303
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,16.5699996948242
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,23.2999992370606
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,42.4430006160176
2012,..
2013,34.7700004577637
2014,..
2015,..
2016,..
2017,28.5499992370606
2018,..
2019,38.0999984741211
2020,..
2021,33.1300010681152
2022,41.5099983215332
2023,..
2024,..
2025,..
