Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,1344
1986,1363
1987,1351
1988,1332
1989,1304
1990,1285
1991,1282
1992,1246
1993,1200
1994,1193
1995,1186
1996,1185
1997,1184
1998,1189
1999,1165
2000,1136
2001,1130
2002,1117
2003,1090
2004,1075
2005,1060
2006,1067
2007,1063
2008,1081
2009,1088
2010,1094
2011,1108
2012,1124
2013,1146
2014,1155
2015,1168
2016,1155
2017,1142
2018,1118
2019,1091
2020,1065
2021,1046
2022,1016
2023,993
2024,..
2025,..
