Year,Value
1960,..
1961,..
1962,38.25
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,18.13
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,31.16
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,31.184
2011,..
2012,..
2013,..
2014,52.007
2015,..
2016,54.801
2017,23.602
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
