Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,3.58333333333333
2006,3.35714285714286
2007,3.35714285714286
2008,3.28571428571429
2009,3.42857142857143
2010,3.42857142857143
2011,3.35714285714286
2012,3.28571428571429
2013,3.28571428571429
2014,3.42857142857143
2015,3.42857142857143
2016,3.42857142857143
2017,3.42857142857143
2018,3.42857142857143
2019,3.57142857142857
2020,3.5
2021,3.42857142857143
2022,3.21428571428571
2023,3.07142857142857
2024,3.0625
2025,..
