Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,55.1431617736816
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,57.824042981867
2018,60.0825471698113
2019,60.7096495023799
2020,65.2532391048292
2021,67.9546260191422
2022,69.6747114375656
2023,62.7618033368832
2024,66.1623802319718
2025,..
