Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,3.80585566810947
1986,2.78929157479443
1987,3.5834696313072
1988,5.13501167157808
1989,7.36451289395819
1990,5.10091813908369
1991,5.96084393218912
1992,8.64604745934572
1993,8.07273065739605
1994,8.83898095245374
1995,9.54048017491264
1996,9.34001749939179
1997,8.1520841433542
1998,5.76445545848843
1999,4.77358688344989
2000,6.78731640463151
2001,6.19289331233377
2002,6.32082099160833
2003,6.89906349055258
2004,7.53641060890386
2005,7.54724772895918
2006,6.97795481056711
2007,7.12950448605439
2008,5.66177120891362
2009,5.39789754014181
2010,6.42324482239482
2011,6.41316889681683
2012,5.5045447041189
2013,5.55351081026072
2014,6.42224312118567
2015,6.98715430598611
2016,6.69000892660424
2017,6.94019037359206
2018,7.46500685572751
2019,7.35926270105006
2020,2.86541320912272
2021,2.55372852648131
2022,8.53750046755788
2023,5.06502391455075
2024,7.09118746633975
