Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,0
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,0
1999,0
2000,0
2001,0
2002,..
2003,..
2004,0
2005,..
2006,..
2007,..
2008,0
2009,0.9
2010,1.2
2011,0.7
2012,0.8
2013,0.9
2014,0.9
2015,0.6
2016,0.6
2017,0.5
2018,0.4
2019,0.3
2020,0.3
2021,0.3
2022,0.3
2023,0.2
2024,..
2025,..
