Year,Value
1960,..
1961,..
1962,0.01
1963,0.01
1964,0.01
1965,0.01
1966,0.01
1967,0.01
1968,0.01
1969,0.01
1970,0.01
1971,0.01
1972,0.01
1973,0.01
1974,0.01
1975,0.01
1976,0.01
1977,0.01
1978,0.01
1979,0.01
1980,0.01
1981,0.01
1982,0.01
1983,0.01
1984,0.01
1985,0.01
1986,0.01
1987,0.01
1988,0.01
1989,0.01
1990,0.01
1991,0.01
1992,0.01
1993,0.01
1994,0.01
1995,0.01
1996,0.01
1997,0.01
1998,0.01
1999,0.01
2000,0.01
2001,0.01
2002,0.01
2003,0.01
2004,0.01
2005,0.01
2006,0.01
2007,0.01
2008,0.01
2009,0.01
2010,0.01
2011,0.01
2012,0.01
2013,0.01
2014,0.01
2015,0.01
2016,0.01
2017,0.01
2018,0.01
2019,0.01
2020,0.01
2021,0.01
2022,..
2023,..
2024,..
