Year,Value
1960,64.9
1961,64.9
1962,64.5
1963,65.4
1964,65.8
1965,66.6
1966,66.9
1967,66.4
1968,67
1969,66.5
1970,66.6
1971,66.1
1972,67.3
1973,67.2
1974,67.8
1975,67
1976,66.9
1977,66.5
1978,66.4
1979,66.8
1980,66
1981,67.1
1982,67.2
1983,67
1984,66.8
1985,66.5
1986,66.8
1987,66.8
1988,67.2
1989,66.8
1990,66.5
1991,66.1
1992,66.7
1993,67.4
1994,67.5
1995,67.6
1996,68.1
1997,68.5
1998,68.9
1999,68.8
2000,69.7
2001,70.2
2002,70.4
2003,70.5
2004,70.7
2005,70.8
2006,70.9
2007,71
2008,71.3
2009,71.5
2010,72.1
2011,72.5
2012,72.6
2013,73
2014,73.7
2015,73.5
2016,73.9
2017,73.9
2018,73.7
2019,74.1
2020,72.4
2021,71.4
2022,73.4
2023,74.8
2024,..
