Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,30
2001,30
2002,30
2003,30
2004,30
2005,30
2006,30
2007,30
2008,30
2009,29
2010,31
2011,33
2012,33
2013,35
2014,36
2015,37
2016,37
2017,37
2018,34
2019,34
2020,34
2021,37
2022,41
2023,41
2024,..
2025,..
