Year,Value
1960,35076845.9692616
1961,43026042.7895829
1962,45927961.6288154
1963,54129438.3482247
1964,64980554.0077784
1965,70279971.8880112
1966,76859969.2560123
1967,74759970.096012
1968,79799968.0800128
1969,105419957.832017
1970,112139955.144018
1971,136462080.739132
1972,146736479.235097
1973,221915127.550763
1974,264320940.959002
1975,288299788.508035
1976,272550068.137517
1977,304060076.015019
1978,340630085.157521
1979,412093133.760988
1980,541976852.577057
1981,570774824.830585
1982,537568059.413381
1983,555336145.767884
1984,494483408.878468
1985,360079419.385958
1986,449140318.385038
1987,584126092.258819
1988,692026454.737872
1989,696921542.378265
1990,1114694040.66987
1991,1156135717.94598
1992,1284759927.54594
1993,1357189551.68431
1994,1419294254.4183
1995,1698989463.99106
1996,1602741833.70552
1997,1716714070.12471
1998,1576908856.34674
1999,1547888495.98428
2000,1738093840.36607
2001,1542477308.89408
2002,1432221739.12342
2003,2197598466.25447
2004,2770082791.50412
2005,3178112498.67911
2006,3291330019.17287
2007,3469381231.49049
2008,3294084314.15058
2009,3580428052.81393
2010,4438765085.93784
2011,4820478680.18375
2012,4886551483.93374
2013,4464726180.76995
2014,4286015248.24891
2015,3909281650.36128
2016,3724180911.37828
2017,4463673661.23006
2018,4644696656.36967
2019,4616996144.90635
2020,4120621324.89015
2021,4785708165.93031
2022,4741163884.9523
2023,4604172127.36299
2024,4891883720.15742
