Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,71494495.1851852
1978,88322386.2962963
1979,102244362.222222
1980,110900457.037037
1981,115651918.888889
1982,125435590
1983,131803552.222222
1984,145533310.740741
1985,167728455.185185
1986,187589522.592593
1987,215009569.62963
1988,236357523.703704
1989,267327642.222222
1990,278098762.962963
1991,300757888.888889
1992,310160444.444444
1993,309812185.185185
1994,325111814.814815
1995,342172518.518519
1996,366911444.444444
1997,392190592.592593
1998,445903592.592593
1999,482009370.37037
2000,520044370.37037
2001,520444185.185185
2002,540336925.925926
2003,591018407.407407
2004,599118592.592593
2005,695555555.555555
2006,698700666.666667
2007,758683592.592593
2008,825976037.037037
2009,771275555.555555
2010,771014814.814815
2011,778655555.555555
2012,799881481.481481
2013,842618518.518518
2014,911496296.296296
2015,997007407.407407
2016,1061640740.74074
2017,1125685185.18519
2018,1166514814.81481
2019,1213485185.18519
2020,1043411111.11111
2021,1122800000
2022,1231732103.7037
2023,1323985600
2024,1391435992.59259
