Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,48
1986,45
1987,43
1988,41
1989,39
1990,36
1991,34
1992,34
1993,35
1994,37
1995,35
1996,32
1997,30
1998,28
1999,27
2000,25
2001,24
2002,24
2003,23
2004,22
2005,21
2006,19
2007,19
2008,18
2009,17
2010,16
2011,16
2012,15
2013,14
2014,14
2015,14
2016,13
2017,13
2018,12
2019,12
2020,16
2021,18
2022,14
2023,11
2024,..
2025,..
