Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,44.7162385853249
1992,44.4468080674751
1993,44.3241618297758
1994,43.9010492937728
1995,43.6938574934061
1996,43.5928265622586
1997,42.7964348092232
1998,43.0314772133519
1999,42.618914492621
2000,42.5577177354008
2001,42.2428776131895
2002,41.099990503069
2003,41.1693939914434
2004,41.8059053421093
2005,40.3257062107228
2006,39.7867196787018
2007,39.8796225475943
2008,39.5762517643013
2009,39.3698181104137
2010,38.9827980401839
2011,38.5551728472984
2012,37.9178774808715
2013,38.2769969695694
2014,37.9848926616511
2015,37.7944597596987
2016,37.3696068705475
2017,37.189738148672
2018,36.4099460320122
2019,37.4137738390855
2020,37.0734058291725
2021,37.1490769029874
2022,36.463782092366
2023,36.3899609966073
2024,36.275594372544
2025,..
