Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,199
1986,187
1987,176
1988,170
1989,162
1990,157
1991,156
1992,150
1993,143
1994,142
1995,139
1996,135
1997,131
1998,128
1999,126
2000,119
2001,117
2002,112
2003,108
2004,106
2005,101
2006,99
2007,95
2008,92
2009,88
2010,86
2011,83
2012,78
2013,76
2014,71
2015,70
2016,66
2017,62
2018,64
2019,63
2020,72
2021,94
2022,72
2023,66
2024,..
2025,..
