Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,229
1986,215
1987,200
1988,190
1989,179
1990,171
1991,159
1992,150
1993,144
1994,140
1995,134
1996,128
1997,122
1998,115
1999,109
2000,103
2001,97
2002,91
2003,87
2004,83
2005,78
2006,75
2007,71
2008,67
2009,65
2010,63
2011,61
2012,59
2013,57
2014,55
2015,54
2016,53
2017,52
2018,51
2019,51
2020,60
2021,74
2022,50
2023,47
2024,..
2025,..
