Year,Value
1960,..
1961,2.1
1962,2.1
1963,2.1
1964,2.1
1965,2.1
1966,2.1
1967,2.1
1968,2.1
1969,2.1
1970,2.1
1971,2.1
1972,2.1
1973,2.1
1974,2.1
1975,2.1
1976,2.1
1977,2.1
1978,2.1
1979,2.1
1980,2.1
1981,2.1
1982,2.1
1983,2.1
1984,2.1
1985,2.1
1986,2.1
1987,2.1
1988,2.1
1989,2.1
1990,2.1
1991,2.1
1992,2.1
1993,2.1
1994,2.1
1995,2.1
1996,2.1
1997,2.1
1998,2.1
1999,2.1
2000,2.1
2001,2.1
2002,2.1
2003,2.1
2004,2.1
2005,2.1
2006,2.1
2007,2.1
2008,2.1
2009,2.1
2010,2.1
2011,2.1
2012,2.1
2013,2.1
2014,2.1
2015,2.1
2016,2.1
2017,2.1
2018,2.1
2019,2.1
2020,2.1
2021,2.1
2022,..
2023,..
2024,..
