Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,2.40631578947368
2008,..
2009,..
2010,2.56
2011,..
2012,2.54619047619048
2013,..
2014,2.5985416
2015,..
2016,2.57459661904762
2017,..
2018,2.48727272727273
2019,..
2020,..
2021,..
2022,2.70588235294118
2023,..
2024,..
2025,..
