Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,3
1997,..
1998,3
1999,..
2000,3
2001,..
2002,4
2003,6
2004,6
2005,7
2006,10
2007,10
2008,10
2009,11
2010,11
2011,12
2012,12
2013,12
2014,11
2015,11
2016,10
2017,11
2018,10
2019,10
2020,8
2021,9
2022,9
2023,9
2024,..
2025,..
