Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,-30.8591995239
1999,24.2000007629
2000,-45.6464691162
2001,-45.5297622681
2002,-5.7800002098
2003,79.3099975586
2004,126.4000015259
2005,158.0474351903
2006,10.2171682627
2007,52.237995500737
2008,-55.8496815287
2009,35.5539014605
2010,11.5016378315223
2011,-49.143834841225
2012,41.1782029922822
2013,12.0782886495252
2014,26.3026425619473
2015,-27.5003323715287
2016,-22.8508907903659
2017,21.0013287961249
2018,-10.2563654020289
2019,25.3794491199696
2020,-22.4090995285298
2021,13.7022784398934
2022,-22.2992069402927
2023,..
2024,..
2025,..
