Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,94.5372467041016
2008,95.3333206176758
2009,95.3153533935547
2010,93.4388122558594
2011,..
2012,..
2013,..
2014,95.1111297607422
2015,..
2016,..
2017,..
2018,91.9999008178711
2019,..
2020,..
2021,100
2022,..
2023,..
2024,..
2025,..
