Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,6.97776985168457
1972,7.31401014328003
1973,7.45120000839233
1974,8.53337955474854
1975,8.43451023101807
1976,8.72085952758789
1977,9.77758979797363
1978,9.86633014678955
1979,10.1267595291138
1980,10.7506198883057
1981,11.1865301132202
1982,11.811710357666
1983,13.391679763794
1984,14.9694995880127
1985,15.8861503601074
1986,15.2643804550171
1987,14.7030897140503
1988,14.2409601211548
1989,14.646650314331
1990,15.0076599121094
1991,15.4440202713013
1992,15.7997798919678
1993,18.0642108917236
1994,18.2833099365234
1995,20.5519695281982
1996,20.0912609100342
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,45.2912902832031
2009,46.214469909668
2010,45.5351409912109
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,107.027125590442
2022,..
2023,..
2024,..
2025,..
