Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,6.2
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,1.4
1999,..
2000,..
2001,..
2002,3
2003,..
2004,..
2005,3.2
2006,1.5
2007,..
2008,..
2009,..
2010,..
2011,..
2012,1.4
2013,..
2014,..
2015,0.7
2016,1.4
2017,..
2018,..
2019,1.1
2020,1.6
2021,1.7
2022,0.6
2023,..
2024,..
2025,..
