Year,Value
1960,288884368.016934
1961,322053713.15873
1962,360698412.698413
1963,383904761.904762
1964,408349206.349206
1965,443587301.587302
1966,465888888.888889
1967,492674603.174603
1968,517650793.650794
1969,556293650.793651
1970,594611111.111111
1971,664571428.571429
1972,769039682.539683
1973,995531746.031746
1974,1333475396.8254
1975,1511420634.92063
1976,1698960317.46032
1977,2092158730.15873
1978,2559857142.85714
1979,3416777777.77778
1980,4448087301.5873
1981,5624515873.01587
1982,5419411764.70588
1983,5673248726.16438
1984,4502462807.13993
1985,3282449235.76129
1986,3723993942.79088
1987,3971044723.8024
1988,4255683528.33333
1989,4757732199.96213
1990,5812114523.01187
1991,6984367762.90371
1992,7157424031.06045
1993,7249533620.30614
1994,7870982004.8195
1995,9062131475.02318
1996,9788391780.52421
1997,9965225678.05093
1998,9260481572.42462
1999,8837070235.51892
2000,8855705139.55857
2001,8495806432.18467
2002,7196260656.84556
2003,7691367471.17992
2004,9624440836.29309
2005,10737500188.1123
2006,13429430050.261
2007,17856393235.4338
2008,24615267663.5456
2009,22355151161.994
2010,27260886405.2263
2011,33756238766.5
2012,33271921136.315
2013,38501122141.4241
2014,40377929295.6419
2015,36211447840.0971
2016,36089700222.9461
2017,38997129473.5558
2018,40225448340.6322
2019,37925338329.1494
2020,35432178068.1814
2021,39950899938.7482
2022,41952910858.088
2023,43118053174.5413
2024,44458118399.6669
