Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,25.3184228917735
2002,24.7548302960504
2003,24.172473589165
2004,23.2446395636853
2005,22.1298329914054
2006,21.0241674148565
2007,20.2250354541024
2008,19.4547994570966
2009,18.8496494384891
2010,18.4133759896181
2011,18.2465101877143
2012,18.187533460429
2013,17.6919019134649
2014,17.7392260277329
2015,18.1210256353166
2016,18.4348324452781
2017,18.6837332748416
2018,18.880414669106
2019,19.6440727586176
2020,20.4333263115939
2021,20.8552296047433
2022,21.6109990890393
2023,21.8817365693588
2024,..
2025,..
