Year,Value
1960,..
1961,8.20724591384787
1962,6.20365045787119
1963,5.60972797819841
1964,2.79770227911476
1965,3.26802371964186
1966,5.98479422519713
1967,7.17861246556186
1968,6.54455465470525
1969,6.09805999558608
1970,5.31050242854884
1971,1.81810794624113
1972,3.69048578366487
1973,7.12586233109471
1974,5.50014109691006
1975,-2.09016289171086
1976,7.12538510094043
1977,2.56050082604729
1978,3.24013978059317
1979,5.95915952688955
1980,3.43001634618649
1981,0.844227628121416
1982,0.413585694308892
1983,1.16920342741862
1984,3.22585239030356
1985,2.79808575480784
1986,2.85997186889063
1987,3.19196062140115
1988,4.19437725054567
1989,3.38838350504491
1990,1.98577491758405
1991,1.53844759206665
1992,0.834275417393798
1993,-0.852805731913904
1994,2.15102367074849
1995,2.88683671925843
1996,1.34558477192847
1997,1.92572122608527
1998,1.8043732818638
1999,1.67799157943422
2000,3.88209885062652
2001,2.00643329837733
2002,0.26992966378873
2003,0.0665538088732092
2004,1.4740217064723
2005,0.762410677306491
2006,1.79947992234244
2007,1.46229205289291
2008,-1.02313851177097
2009,-5.30515401233991
2010,1.52910573247101
2011,0.695463154440176
2012,-3.12523877282996
2013,-1.81802510749792
2014,-0.00138761730454462
2015,0.885667635240807
2016,1.23622108511661
2017,1.60369995294101
2018,0.826646712344115
2019,0.429162533780342
2020,-8.86822122185345
2021,8.93106210800055
2022,4.82117669913565
2023,0.715372500867531
2024,0.725792380234424
