Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,56.34
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,21.62
1986,..
1987,..
1988,..
1989,..
1990,18.37
1991,..
1992,..
1993,..
1994,..
1995,22.36
1996,..
1997,..
1998,..
1999,..
2000,30.07
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,38.135
2010,..
2011,..
2012,..
2013,..
2014,42.724
2015,..
2016,41.725
2017,..
2018,..
2019,47.137
2020,..
2021,..
2022,..
2023,..
2024,..
