Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,38067567567.5676
1988,40424528301.8868
1989,41450777202.0725
1990,38247882300.4904
1991,28850634899.856
1992,25121666666.6667
1993,26361160449.9704
1994,30072805104.2542
1995,37430162102.6125
1996,36937074278.3004
1997,35575214078.2428
1998,41696091973.7076
1999,35953156753.739
2000,37253739511.1273
2001,40395116581.4832
2002,46065502702.5817
2003,57806384143.166
2004,74973656851.8076
2005,98454380120.0761
2006,122023735992.706
2007,174588782938.583
2008,214315932061.275
2009,174110532658.867
2010,170064350671.827
2011,192623977894.173
2012,179117323107.087
2013,189798603751.235
2014,199722319675.741
2015,177885131240.315
2016,185290759248.844
2017,210147385855.419
2018,243468683030.34
2019,251677082534.495
2020,252033792712.145
2021,286578196368.297
2022,296354358293.475
2023,350775856415.189
2024,382767571329.158
