Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,4
1997,..
1998,4
1999,..
2000,4
2001,..
2002,5
2003,7
2004,10
2005,11
2006,14
2007,14
2008,14
2009,14
2010,14
2011,14
2012,14
2013,15
2014,14
2015,13
2016,12
2017,13
2018,13
2019,12
2020,10
2021,11
2022,12
2023,12
2024,..
2025,..
