Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,17.9082402214658
2002,19.1369795667745
2003,20.4030313412342
2004,20.7699202587855
2005,20.269125919691
2006,18.3880967092863
2007,16.4472152042256
2008,15.3662887685736
2009,15.1801091128215
2010,14.85546216639
2011,14.4730907865719
2012,13.6851076721982
2013,13.0765786272885
2014,12.7429383238736
2015,12.2273255719391
2016,11.6848561815597
2017,10.7109395883132
2018,10.4774061592351
2019,11.4712130531912
2020,12.8461814619628
2021,13.5936788402546
2022,12.9558522136708
2023,11.6540767482337
2024,..
2025,..
