Year,Value
1960,5.4443273618724
1961,6.27914723477514
1962,5.26563234621733
1963,-2.69465535232731
1964,0.856793145737554
1965,4.10345873811618
1966,9.69034608375119
1967,-3.72633676514215
1968,-0.476059059060833
1969,10.155979202822
1970,13.757079924793
1971,15.9991148482235
1972,3.457649752015
1973,5.4026644539422
1974,12.674393177433
1975,33.9641883221777
1976,24.2999999999996
1977,15.0878340572687
1978,21.7092457416665
1979,11.7097306212117
1980,9.97226199001427
1981,20.8128229121949
1982,7.69774724714251
1983,23.2123315511559
1984,17.8205332860842
1985,7.4353448275863
1986,5.71715145436305
1987,11.2903225806452
1988,54.5112247797671
1989,50.4666881235916
1990,7.36440030557692
1991,13.0069731037427
1992,44.588842715023
1993,57.1652528349217
1994,57.031708911966
1995,72.8355022972637
1996,29.2682926829271
1997,8.52987421383639
1998,9.99637812386801
1999,6.61837339479756
2000,6.93329215565161
2001,18.8736462093862
2002,12.8765792031099
2003,14.0317836131437
2004,14.9980338183251
2005,17.8634933661605
2006,8.22522152017048
2007,5.3880079685863
2008,11.5810751748252
2009,12.5378277304689
2010,13.7400521363694
2011,10.8261371880017
2012,12.2242413020583
2013,8.49551838265678
2014,8.04741087967907
2015,9.00943498007699
2016,15.6968126387972
2017,16.5022662139641
2018,12.0951065173432
2019,11.3964223378115
2020,13.2460234276597
2021,16.9528457221608
2022,18.8471877843274
2023,24.6595502031139
2024,33.2420966545405
