Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,40.98778
1971,27.65211
1972,..
1973,..
1974,46.65258
1975,..
1976,..
1977,..
1978,..
1979,56.69864
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,17.57367
2007,19.01406
2008,..
2009,..
2010,34.08652
2011,..
2012,..
2013,..
2014,..
2015,..
2016,42.83605
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
