Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,58.5785653218414
2014,58.5785653218414
2015,58.5785653218414
2016,58.5785653218414
2017,58.5785653218414
2018,58.5785653218414
2019,58.5785653218414
2020,58.5785653218414
2021,58.5785653218414
2022,58.5785653218414
2023,58.5785653218414
2024,58.5785653218414
2025,..
