Year,Value
1960,42012422612.3955
1961,46649487320.4225
1962,52413872628.0045
1963,60035924617.9277
1964,65720771779.4768
1965,70717012186.1774
1966,76622444787.3696
1967,84401995573.2456
1968,91485448147.84
1969,100996667239.335
1970,113656669764.56
1971,124959712858.926
1972,145594833997.344
1973,175896529392.229
1974,200024444775.231
1975,228220643534.994
1976,225235205861.828
1977,258190019749.835
1978,315784469541.41
1979,394584507107.9
1980,478356755595.749
1981,431695533980.583
1982,428257421617.752
1983,444063496940.337
1984,438896930791.272
1985,453259761687.456
1986,641862313287.44
1987,807570134448.76
1988,893663934840.821
1989,930801709003.669
1990,1183945130898.51
1991,1249092439519.28
1992,1323204350353.5
1993,1067412587670.73
1994,1101750159702.21
1995,1177369428265.78
1996,1314776508972.27
1997,1244988176443.84
1998,1272729786996.77
1999,1255004736463.98
2000,1149661363439.38
2001,1172041488805.87
2002,1281746271196.04
2003,1582930016538.82
2004,1812808753294.75
2005,1864982261286.85
2006,1958563654385.64
2007,2222524108127.65
2008,2417508414187.19
2009,2209484319012.65
2010,2144936254535
2011,2306974020278.21
2012,2097929495121.68
2013,2153225581941.46
2014,2173255507985.84
2015,1845428048839.1
2016,1887111188176.93
2017,1970720904584.71
2018,2099435266458.67
2019,2019606796583.53
2020,1907481094079.23
2021,2179207773596.09
2022,2104067630319.46
2023,2304605139862.79
2024,2372774547793.12
