Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,62.1348448052178
2001,62.2878088837451
2002,62.3623498083038
2003,62.4585119120747
2004,62.6423421559232
2005,62.8431629651539
2006,63.0636002969757
2007,63.3100694168004
2008,63.4934717005847
2009,63.6309158074858
2010,63.7882572473169
2011,63.9277758122719
2012,64.0752567167458
2013,64.2673494485519
2014,64.4766253668384
2015,64.7101071513081
2016,64.9504508423167
2017,65.1017222087437
2018,65.2185494487559
2019,65.3123749106628
2020,65.3596576745015
2021,65.4013845406908
2022,65.510713403374
2023,65.584056055675
2024,65.6173396110979
2025,..
