Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,81.66
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,91.63
1984,..
1985,..
1986,..
1987,80.61
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,79.35
1999,..
2000,..
2001,..
2002,..
2003,..
2004,89.1
2005,83.644
2006,..
2007,..
2008,..
2009,..
2010,..
2011,78.404
2012,..
2013,83.291
2014,..
2015,..
2016,..
2017,68.704
2018,..
2019,..
2020,73.981
2021,..
2022,..
2023,..
2024,..
