Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,0.8
2004,0.5
2005,0.5
2006,0.1
2007,0.3
2008,0.2
2009,0.2
2010,0.2
2011,0.4
2012,0.7
2013,0.8
2014,0.6
2015,0.5
2016,0.3
2017,0.3
2018,0.3
2019,0.1
2020,0.4
2021,0.2
2022,0.2
2023,0.3
2024,..
2025,..
