Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,63
2001,65
2002,66
2003,68
2004,70
2005,72
2006,73
2007,75
2008,75
2009,74
2010,74
2011,74
2012,74
2013,74
2014,74
2015,75
2016,75
2017,75
2018,75
2019,75
2020,76
2021,76
2022,75
2023,75
2024,..
2025,..
