Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,102.277976989746
1989,102.08130645752
1990,99.1268463134766
1991,95.3908233642578
1992,91.6660995483398
1993,91.5715408325195
1994,89.1314392089844
1995,94.2269668579102
1996,91.2971420288086
1997,91.7893600463867
1998,92.8313903808594
1999,93.9712677001953
2000,95.2330474853516
2001,96.6197814941406
2002,95.4153213500977
2003,94.8486709594727
2004,94.0935134887695
2005,93.4480667114258
2006,92.548210144043
2007,94.9993591308594
2008,99.5523300170898
2009,100.039779663086
2010,99.919563293457
2011,98.8723373413086
2012,97.2449035644531
2013,98.4402389526367
2014,95.2753295898438
2015,94.0542984008789
2016,95.6451568603516
2017,97.2711334228516
2018,98.1020812988281
2019,97.2907791137695
2020,95.1949920654297
2021,95.9640884399414
2022,95.3738327026367
2023,..
2024,..
2025,..
