Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,9999.99977648258
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,9999.99977648258
1993,19999.9995529652
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,209999.993443489
2001,889999.985694885
2002,529999.971389771
2003,..
2004,..
2005,759999.990463257
2006,..
2007,1429999.94754791
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,1326787.9486084
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
