Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,80.1719842164312
2001,80.9797644214384
2002,81.6962719438844
2003,82.3646206452242
2004,82.91286711034
2005,83.502030447082
2006,83.9464854802831
2007,84.3983600528683
2008,84.7941842384823
2009,85.1796334356918
2010,85.5957526252698
2011,85.9658893840537
2012,86.3509813444776
2013,86.6412327742482
2014,87.0430398631233
2015,87.4008066221983
2016,87.6782766828718
2017,87.9480532943131
2018,88.2167571926768
2019,88.4782015326547
2020,88.6903827852008
2021,88.8775210450793
2022,89.0197186234126
2023,89.1755849668465
2024,..
2025,..
