Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,2.1
1989,1.7
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,0.7
1999,..
2000,..
2001,..
2002,0.7
2003,..
2004,..
2005,1.5
2006,0.4
2007,..
2008,..
2009,..
2010,..
2011,..
2012,0.4
2013,..
2014,..
2015,0.4
2016,0.3
2017,..
2018,..
2019,0.4
2020,0.4
2021,0.5
2022,0.1
2023,..
2024,..
2025,..
