Year,Value
1960,..
1961,..
1962,..
1963,57.75
1964,..
1965,..
1966,..
1967,..
1968,..
1969,38.89
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,51.9
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,57.97
2005,..
2006,..
2007,..
2008,..
2009,67.34
2010,..
2011,..
2012,..
2013,..
2014,64
2015,..
2016,..
2017,60.185
2018,57.869
2019,57.858
2020,57.786
2021,..
2022,57.744
2023,..
2024,..
