Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,8.08
1995,..
1996,..
1997,..
1998,..
1999,..
2000,7.968
2001,..
2002,..
2003,..
2004,..
2005,6.715
2006,..
2007,..
2008,..
2009,..
2010,4.96
2011,..
2012,5.008
2013,..
2014,..
2015,..
2016,..
2017,..
2018,11.461
2019,9.857
2020,11.581
2021,9.734
2022,7.888
2023,5.791
2024,..
